Variable,Test,p-value
age,ANOVA,0.16521719424943754
bmi,Kruskal-Wallis,0.8952967628118558
ethnicity,Chi-square,0.5695007617866186
hx_htn,Chi-square,0.737475371235851
hx_hld,Chi-square,0.18482628219474873
hx_dm2,Chi-square,0.40047868178378576
hx_smoking,Chi-square,0.702494709229476
hx_cad,Chi-square,0.021859796210496288
hx_chf,Chi-square,0.2347692689171771
hx_arrhythmia,Chi-square,0.5058024049140679
hx_pad,Chi-square,0.9141595733734481
hx_cva,Chi-square,0.11129432764945943
has_pcp,Chi-square,0.18861232404549133
cards_prior,Chi-square,0.07366558994341384
diet_counseling,Chi-square,0.23161723329937778
exercise_counseling,Chi-square,0.04305793214516541
echo_ordered,Chi-square,0.03563346905308804
ecg_done,Chi-square,0.6966551786363671
