Variable,Overall,Not At Risk,At Risk,p-value
age,71.60 ± 8.91,71.77 ± 9.38,71.41 ± 8.46,0.7733
bmi,27.66 ± 5.13,27.80 ± 5.22,27.52 ± 5.11,0.8451
ethnicity = Asian,27,15 (12.5%),12 (15.2%),0.3554
ethnicity = Black,17,8 (6.7%),9 (11.4%),0.3554
ethnicity = Caucasian,110,71 (59.2%),39 (49.4%),0.3554
ethnicity = Hispanic,22,15 (12.5%),7 (8.9%),0.3554
ethnicity = Other,23,11 (9.2%),12 (15.2%),0.3554
hx_htn = 0.0,82,57 (46.7%),25 (32.1%),0.0561
hx_htn = 1.0,118,65 (53.3%),53 (67.9%),0.0561
hx_hld = 0.0,96,59 (47.6%),37 (46.8%),1.0000
hx_hld = 1.0,107,65 (52.4%),42 (53.2%),1.0000
hx_dm2 = 0.0,141,88 (71.5%),53 (67.9%),0.7004
hx_dm2 = 1.0,60,35 (28.5%),25 (32.1%),0.7004
hx_smoking = 0.0,132,87 (70.2%),45 (57.0%),0.0720
hx_smoking = 1.0,61,30 (24.2%),31 (39.2%),0.0720
hx_smoking = 2.0,10,7 (5.6%),3 (3.8%),0.0720
hx_cad = 0.0,166,104 (83.9%),62 (79.5%),0.5460
hx_cad = 1.0,36,20 (16.1%),16 (20.5%),0.5460
hx_chf = 0.0,191,117 (94.4%),74 (93.7%),1.0000
hx_chf = 1.0,12,7 (5.6%),5 (6.3%),1.0000
hx_arrhythmia = 0.0,178,109 (87.9%),69 (87.3%),1.0000
hx_arrhythmia = 1.0,25,15 (12.1%),10 (12.7%),1.0000
hx_pad = 0.0,197,122 (98.4%),75 (94.9%),0.3221
hx_pad = 1.0,6,2 (1.6%),4 (5.1%),0.3221
hx_cva = 0.0,192,119 (96.0%),73 (93.6%),0.6705
hx_cva = 1.0,10,5 (4.0%),5 (6.4%),0.6705
has_pcp = 0.0,25,12 (9.8%),13 (16.5%),0.2332
has_pcp = 1.0,177,111 (90.2%),66 (83.5%),0.2332
cards_prior = 0.0,166,103 (83.1%),63 (79.7%),0.6814
cards_prior = 1.0,37,21 (16.9%),16 (20.3%),0.6814
diet_counseling = 0.0,188,115 (92.7%),73 (92.4%),1.0000
diet_counseling = 1.0,15,9 (7.3%),6 (7.6%),1.0000
exercise_counseling = 0.0,187,115 (92.7%),72 (91.1%),0.8839
exercise_counseling = 1.0,16,9 (7.3%),7 (8.9%),0.8839
echo_ordered = 0.0,170,106 (85.5%),64 (81.0%),0.5178
echo_ordered = 1.0,33,18 (14.5%),15 (19.0%),0.5178
ecg_done = 0.0,85,57 (81.4%),28 (71.8%),0.3563
ecg_done = 1.0,24,13 (18.6%),11 (28.2%),0.3563
