feature,VIF
sbp,1396.0135814862035
dbp,585.5945194590706
age,410.7176319068487
hx_mi_stent,191.67347328707694
bmi,168.61538856992448
echo_ordered,141.81760010188808
cards_prior,66.61215826939845
cards_post,60.911034605550064
ascvd_10yr,53.88727249322344
adt_agent_enc,38.34843872478983
bp_meds_prior,36.35089044314988
statin_prior,29.389563864071224
prescribing_provider_enc,20.900041042054067
hx_high_tg,19.483499959519165
cards_referral,18.892277082010214
ethnicity_enc,18.337963385789354
days_adt_to_nht,17.043106875307295
hx_hld,15.472020550924842
dm_noninsulin,15.391698400691809
hx_dm2,14.825994805571353
has_pcp,14.480173941532083
a1c_checked,13.5889850456848
non_onc_provider,11.699759950471588
lipid_panel_checked,11.309050227940224
diet_counseling,11.229775275952933
hx_htn,10.828601465411433
other_lipid_prior,10.326675088152683
hx_cad,9.310836770369713
hx_carotid,9.00031835583325
specific_nht_used_enc,8.78631007427668
glucose_over_200,8.354938948998253
family_hx_hd,7.8986976171637036
ace_arb_prior,7.568689275341092
asa_use,7.244979899657484
bb_prior,7.139666517181641
ecg_done,5.981659408042717
hx_smoking,5.772859912085834
exercise_counseling,5.0755154748734475
hx_chf,4.656979132277724
days_auth_to_start,4.244450979696899
hx_arrhythmia,
hx_pad,
hx_cva,
on_insulin,
