feature,partial_r2
dm_noninsulin,0.09022746656088432
cards_referral,0.06303027567582453
ethnicity_enc,0.03412211006085808
lipid_panel_checked,0.02460623965451636
hx_dm2,0.02160537896970438
adt_agent_enc,0.012706705435248877
non_onc_provider,0.00915413695583045
hx_cad,0.0018004931258098766
asa_use,0.00045085318471993485
hx_chf,-0.0052750810624355715
hx_hld,-0.00537380916996355
family_hx_hd,-0.006042097813144576
bmi,-0.011135085739884865
bp_meds_prior,-0.012973440201562436
exercise_counseling,-0.014428380759807125
hx_arrhythmia,-0.015323243309369516
has_pcp,-0.017312012922757747
glucose_over_200,-0.018221616838085763
hx_smoking,-0.02323800377075247
hx_cva,-0.027010318747128892
specific_nht_used_enc,-0.0277826451885812
hx_carotid,-0.028191038822028558
dbp,-0.028665213167036185
bb_prior,-0.03014792755514173
hx_pad,-0.03355454742739994
other_lipid_prior,-0.035952137524519756
age,-0.03949712237301428
diet_counseling,-0.04161118250438123
sbp,-0.04339451759301283
echo_ordered,-0.04413859624934169
hx_high_tg,-0.04469639393272895
days_auth_to_start,-0.049346481253227825
hx_htn,-0.05066673962151724
days_adt_to_nht,-0.051909610555894936
on_insulin,-0.05389949943675032
a1c_checked,-0.05729769377188543
hx_mi_stent,-0.057311643558622505
ecg_done,-0.05751886853926269
cards_post,-0.06408950268710467
prescribing_provider_enc,-0.06678507627130004
cards_prior,-0.06886687365348054
ace_arb_prior,-0.06976929524286168
statin_prior,-0.07479939555883175
ascvd_10yr,-0.09930852694477887
