feature,importance,std
dm_noninsulin,0.08522167487684731,0.006250530808103228
days_adt_to_nht,0.06009852216748772,0.01202616316821053
bmi,0.03300492610837445,0.005418719211822654
days_auth_to_start,0.0275862068965518,0.007372723914825491
bp_meds_prior,0.023645320197044416,0.01140476542146819
lipid_panel_checked,0.01773399014778334,0.009901355291744707
age,0.01625615763546806,0.008257662371546914
prescribing_provider_enc,0.014778325123152792,0.007943111082067553
dbp,0.014285714285714379,0.006013081584105265
sbp,0.01280788177339911,0.006308496785648119
adt_agent_enc,0.01133004926108384,0.003847413633451549
ethnicity_enc,0.010344827586206983,0.006403940886699517
ace_arb_prior,0.008866995073891725,0.0029556650246305386
bb_prior,0.008374384236453291,0.003154248392824089
hx_htn,0.006896551724137989,0.009136569946301215
hx_smoking,0.005418719211822754,0.003448275862068979
ascvd_10yr,0.00541871921182272,0.007121592263448789
non_onc_provider,0.003940886699507462,0.0029556650246305824
specific_nht_used_enc,0.002955665024630605,0.005911330049261126
hx_dm2,0.0029556650246305937,0.0032676106308920654
other_lipid_prior,0.002463054187192182,0.0033045339568962867
statin_prior,0.0024630541871921707,0.0024630541871921707
hx_hld,0.0024630541871921595,0.0033045339568962867
glucose_over_200,0.0014778325123153025,0.002257426450717211
asa_use,0.0009852216748768906,0.004826580773957043
echo_ordered,0.0009852216748768682,0.0019704433497537365
cards_referral,0.0009852216748768682,0.0019704433497537365
cards_post,0.0,0.0
ecg_done,0.0,0.0
exercise_counseling,0.0,0.0
diet_counseling,0.0,0.0
on_insulin,0.0,0.0
cards_prior,0.0,0.0
hx_cva,0.0,0.0
hx_carotid,0.0,0.0
hx_arrhythmia,0.0,0.0
hx_chf,0.0,0.0
hx_mi_stent,0.0,0.0
hx_cad,0.0,0.0
hx_high_tg,0.0,0.0
has_pcp,0.0,0.0
hx_pad,0.0,0.0
family_hx_hd,-0.001970443349753681,0.003267610630892039
a1c_checked,-0.0019704433497536923,0.0024132903869784977
